,stop_name,stop_lat,stop_lon
0,'s-Hertogenbosch,51.69054,5.293723
4,Aachen Hbf,50.7678,6.091499
7,Aachen Süd(Gr),50.731915,6.04541
8,Aalen Hbf,48.841015,10.096271
10,Aarhus,56.150074,10.204997
15,Alfeld(Leine),51.98142,9.817779
17,Almelo,52.357285,6.654811
19,Altena(Westf),51.301983,7.668808
21,Altenbeken,51.766434,8.943319
23,Amersfoort Centraal,52.153465,5.373909
26,Amsterdam Centraal,52.37919,4.899431
37,Amstetten NÖ,48.121605,14.878112
39,Andernach,50.434544,7.404839
42,Angermünde,53.01522,13.996361
44,Anklam,53.856102,13.701827
46,Ansbach,49.29803,10.578239
48,Apeldoorn,52.20943,5.967491
51,Apolda,51.03094,11.526136
53,Arnhem Centraal,51.98478,5.901003
57,Arth-Goldau,47.049046,8.549446
58,Aschaffenburg Hbf,49.980556,9.143697
60,Attnang-Puchheim,48.012802,13.720719
61,Augsburg Hbf,48.36544,10.88557
68,Augustfehn,53.22089,7.759659
70,Aulendorf,47.953053,9.644046
72,Bad Bentheim,52.30985,7.158539
74,Bad Bentheim(Gr),52.3091,7.04016
75,Bad Bevensen,53.078247,10.574141
77,Bad Endorf,47.905067,12.301558
79,Bad Gastein,47.111744,13.132456
80,Bad Hersfeld,50.869633,9.716182
82,Bad Hofgastein,47.195713,13.100939
84,Bad Kleinen,53.766975,11.466925
86,Bad Krozingen,47.91972,7.697632
88,Bad Nauheim,50.367905,8.749334
90,Bad Oeynhausen,52.2054,8.796523
92,Bad Schandau,50.91929,14.137538
94,Bad Zwischenahn,53.18255,8.003123
95,Baden-Baden,48.790325,8.190831
97,Bamberg,49.90076,10.899489
99,Basel Bad Bf,47.567287,7.607805
101,Basel SBB,47.547405,7.589551
111,Bebra,50.969566,9.797788
114,Bellinzona,46.19543,9.029519
115,Bensheim,49.681328,8.616717
117,Bergen auf Rügen,54.4205,13.417821
119,Berlin Gesundbrunnen,52.54896,13.388513
125,Berlin Hbf,52.525593,13.369545
128,Berlin Hbf (tief),52.525593,13.369545
137,Berlin Ostbahnhof,52.510487,13.434681
143,Berlin Ostkreuz,52.503036,13.469105
145,Berlin Südkreuz,52.475048,13.365319
151,Berlin Wannsee,52.42097,13.179528
153,Berlin Zoologischer Garten,52.50728,13.331992
157,Berlin-Charlottenburg,52.50421,13.30233
158,Berlin-Lichtenberg,52.510136,13.496693
159,Berlin-Spandau,52.53465,13.196898
163,Bern,46.948833,7.439131
165,Bernau(b Berlin),52.675568,13.592641
167,Biberach(Riß),48.101845,9.793127
169,Bielefeld Hbf,52.029263,8.532722
171,Bingen(Rhein) Hbf,49.968727,7.884263
174,Bischofshofen,47.41786,13.219888
176,Bitterfeld,51.62286,12.31685
180,Bludenz,47.154724,9.814564
182,Bochnia,49.9773,20.430775
183,Bochum Hbf,51.478607,7.223275
188,Bohumin,49.90073,18.359444
189,Bohumin(Gr),49.916576,18.322226
190,Bologna Centrale,44.50614,11.343411
191,Bolzano/Bozen,46.496376,11.358791
192,Bondorf(b Herrenberg),48.523552,8.827662
194,Bonn Hbf,50.73201,7.097136
197,Bonn-Bad Godesberg,50.683926,7.159555
198,Bonn-Beuel,50.738476,7.127657
199,Borovnica,45.921318,14.367972
200,Brandenburg Hbf,52.400555,12.566138
203,Bratislava hl.st.,48.15891,17.106466
204,Braunschweig Hbf,52.252216,10.540295
206,Breclav,48.7539,16.893236
207,Breclav(Gr),48.71265,16.86837
208,Bregenz,47.503002,9.739627
214,Bremen Hbf,53.08348,8.813834
222,Bremerhaven Hbf,53.534912,8.599555
224,Bremerhaven-Lehe,53.566322,8.600657
226,Brennero/Brenner,47.002342,11.505426
227,Bressanone/Brixen,46.709896,11.649764
228,Brig,46.319424,7.988095
229,Brno hl.n.,49.19054,16.612774
230,Brno-Kralovo Pole,49.230976,16.596693
231,Bruchsal,49.124622,8.589649
234,Bruck/Mur,47.41383,15.279433
236,Bruxelles Midi,50.835377,4.335694
246,Bruxelles-Nord,50.860237,4.361454
250,Brzeg,50.85297,17.471178
251,Buchloe,48.033722,10.716217
255,Budapest-Déli,47.498535,19.025288
256,Budapest-Kelenföld,47.464355,19.020456
257,Budapest-Keleti,47.50038,19.085072
258,Budapest-Nyugati,47.510708,19.057467
259,Bydgoszcz Glowna,53.135113,17.991636
260,Böblingen,48.68776,9.004128
263,Büchen,53.47497,10.623298
265,Bünde(Westf),52.202076,8.573876
267,Bützow,53.837112,11.998194
269,Celle,52.620457,10.062468
271,Chalupki,49.925476,18.311562
272,Chiasso,45.83217,9.03145
273,Chur,46.853085,9.528938
275,Coburg,50.262928,10.957328
277,Como S. Giovanni,45.80897,9.072714
278,Cottbus Hbf,51.750957,14.324162
280,Crailsheim,49.13787,10.064326
282,Darmstadt Hbf,49.8725,8.629636
286,Debica,50.054417,21.405565
287,Decin hl.n.,50.773415,14.201247
288,Delmenhorst,53.05279,8.629758
290,Dessau Hbf,51.839867,12.234945
292,Deventer,52.257435,6.160506
295,Diepholz,52.60477,8.380334
296,Dillenburg,50.734882,8.294088
298,Doberlug-Kirchhain,51.620575,13.564241
300,Dobova,45.89839,15.655178
301,Dobova(Gr),45.890633,15.680238
302,Domazlice,49.434692,12.944582
303,Domodossola,46.11529,8.296239
304,Donaueschingen,47.947784,8.498919
305,Donauwörth,48.714027,10.771443
306,Dorfgastein,47.23867,13.103062
308,Dornbirn,47.41769,9.738808
310,Dortmund Hbf,51.517895,7.45929
317,Dresden Hbf,51.04056,13.732035
320,Dresden-Neustadt,51.0659,13.740701
324,Duisburg Hbf,51.429787,6.775903
333,Düren,50.809517,6.482451
335,Düsseldorf Flughafen,51.292007,6.786836
337,Düsseldorf Hbf,51.219963,6.794319
345,Eberswalde Hbf,52.834023,13.797062
347,Eisenach,50.97692,10.331986
350,Ellwangen,48.964123,10.129681
351,Elsterwerda,51.45968,13.516428
354,Elze(Han),52.120148,9.746894
356,Emden Außenhafen,53.344467,7.186179
357,Emden Hbf,53.369038,7.195176
361,Emmerich(Gr),51.901196,6.137652
362,Engen,47.856346,8.772786
364,Erfurt Hbf,50.97255,11.038499
369,Ergenzingen,48.489532,8.809857
371,Erkelenz,51.076565,6.32172
373,Erlangen,49.59583,11.001638
375,Essen Hbf,51.451355,7.014793
380,Eutingen im Gäu,48.479954,8.782236
382,Faak am See,46.56437,13.913006
383,Fehmarn-Burg,54.443592,11.18898
384,Feldkirch,47.24098,9.604102
386,Finnentrop,51.173046,7.964563
388,Fischen,47.456593,10.271717
389,Flensburg,54.77404,9.436526
390,Flensburg(Gr),54.814842,9.36324
391,Flughafen BER - Terminal 1-2,52.364803,13.51195
393,Forbach(F),49.189217,6.900258
394,Forbach(fr),49.21409,6.944314
395,Fortezza/Franzensfeste,46.78872,11.610083
396,Frankfurt(M) Flughafen Fernbf,50.053165,8.570185
401,Frankfurt(M) Flughafen Regionalbf,50.05122,8.571251
402,Frankfurt(Main)Hbf,50.107143,8.663789
426,Frankfurt(Main)Süd,50.099365,8.686457
430,Frankfurt(Main)West,50.118862,8.639335
432,Frankfurt(Oder),52.336414,14.546496
435,Frankfurt(Oder)(Gr),52.321175,14.576403
436,Fredericia st,55.56809,9.738813
439,Freiburg(Breisgau) Hbf,47.997696,7.84117
442,Freilassing,47.836918,12.977193
446,Friedrichshafen Stadt,47.653225,9.4739
447,Fulda,50.55472,9.683977
451,Fürth(Bay)Hbf,49.469707,10.989988
453,Garmisch-Partenkirchen,47.49145,11.097013
456,Gdansk Glowny,54.35552,18.643803
457,Gdansk Oliwa,54.409893,18.571741
458,Gdansk Wrzeszcz,54.38186,18.605434
459,Gdynia Glowna,54.52084,18.529556
460,Geilenkirchen,50.96104,6.124518
462,Geislingen(Steige),48.619358,9.841941
464,Gelsenkirchen Hbf,51.5049,7.102455
470,Gera Hbf,50.883423,12.077092
473,Gliwice,50.301105,18.677158
474,Glogow,51.668957,16.079712
475,Gniezno,52.52965,17.602184
476,Golling-Abtenau,47.600574,13.164086
478,Gotha,50.93907,10.712568
483,Graz Hbf,47.072296,15.416437
485,Greifswald,54.092922,13.370262
487,Györ,47.68198,17.63479
488,Gäufelden,48.55966,8.850308
490,Göppingen,48.700027,9.651969
493,Göttingen,51.536816,9.926072
500,Götzis,47.33661,9.636696
501,Günzburg,48.460564,10.279262
503,Gütersloh Hbf,51.90694,8.385071
505,Haffkrug,54.054188,10.742682
507,Hagen Hbf,51.362747,7.460249
515,Haiger,50.741352,8.220657
516,Halle(Saale)Hbf,51.47751,11.987085
520,Hallein,47.68517,13.099434
521,Hamburg Dammtor,53.560753,9.989566
523,Hamburg Hbf,53.552734,10.006909
538,Hamburg-Altona,53.552696,9.935175
547,Hamburg-Bergedorf,53.489834,10.206171
550,Hamburg-Harburg,53.45591,9.991701
556,Hamm(Westf)Hbf,51.678078,7.807821
562,Hanau Hbf,50.120953,8.929
568,Hannover Hbf,52.376762,9.741021
577,Hannover Messe/Laatzen,52.3169,9.792863
578,Hausach,48.284924,8.181665
579,Hegyeshalom,47.913506,17.14702
580,Hegyeshalom(Gr),47.93826,17.095844
581,Heide(Holst),54.19356,9.101029
583,Heidelberg Hbf,49.40357,8.675442
591,Helmstedt,52.222088,11.010553
593,Hengelo,52.261852,6.793726
596,Heppenheim(Bergstr),49.641552,8.633379
598,Herborn(Dillkr),50.684406,8.30814
599,Herford,52.11961,8.663643
601,Hermsdorf-Klosterlausnitz,50.903778,11.858626
603,Herrenberg,48.59399,8.862662
605,Herzogenrath,50.870914,6.094486
607,Hildesheim Gbf,52.157387,9.942379
608,Hildesheim Hbf,52.160625,9.953497
610,Hilversum,52.22667,5.181399
612,Hohenems,47.364708,9.681001
613,Holysov,49.597546,13.10137
614,Homburg(Saar)Hbf,49.328083,7.337035
616,Horb,48.44147,8.688982
618,Hornberg(Schwarzw),48.211895,8.23294
619,Horsens st,55.86279,9.8355
621,Hude,53.10943,8.460956
623,Husum,54.47227,9.055026
625,Hünfeld,50.67327,9.762453
627,Ibbenbüren,52.276867,7.721486
628,Ilirska Bistrica,45.569275,14.236037
629,Immendingen,47.93601,8.729536
630,Immenstadt,47.559204,10.213999
632,Imst-Pitztal,47.219074,10.76167
633,Ingolstadt Hbf,48.74454,11.437337
636,Innsbruck Hbf,47.26333,11.40051
641,Inowroclaw,52.804947,18.24406
642,Interlaken Ost,46.6905,7.869
643,Interlaken West,46.68295,7.851366
644,Iselle transito,46.27205,8.097801
645,Itzehoe,53.923874,9.510287
647,Jaroslaw,50.01067,22.677896
648,Jena Paradies,50.924854,11.587461
651,Jena West,50.923286,11.577848
653,Jena-Göschwitz,50.88394,11.593537
657,Jenbach,47.388447,11.778454
659,Jesenice(Gr),46.48141,14.020333
660,Jesenice(SL),46.436325,14.054913
661,Jurdani,45.39309,14.308552
662,Kaiserslautern Hbf,49.43614,7.768716
664,Kapfenberg,47.44512,15.292088
666,Karlsruhe Hbf,48.993515,8.402181
668,Karlsruhe-Durlach,49.002327,8.462822
669,Kassel-Wilhelmshöhe,51.313114,9.446898
675,Katowice,50.257515,19.017164
676,Kaufbeuren,47.87543,10.629496
678,Kedzierzyn Kozle,50.34436,18.204765
679,Kehl(Gr),48.575645,7.801118
680,Keitum,54.888813,8.368969
681,Kempten(Allgäu)Hbf,47.711746,10.31761
683,Kiel Hbf,54.314983,10.131976
685,Klagenfurt Hbf,46.615585,14.313569
686,Klanxbüll,54.861996,8.676454
687,Koblenz Hbf,50.35093,7.588345
692,Koebenhavn H,55.67272,12.564617
697,Kolding st,55.49084,9.481528
699,Konin,52.231396,18.253336
700,Konstanz,47.658752,9.177312
702,Krakow Glowny,50.067196,19.947426
703,Krakow Plaszow,50.03509,19.974894
704,Kranj,46.23901,14.348167
705,Krefeld Hbf,51.325718,6.569885
707,Kreiensen,51.85142,9.967798
710,Kreuztal,50.956028,7.991696
712,Kronach,50.239613,11.320115
714,Krsko,45.95624,15.493454
715,Krumpendorf/Wörthersee,46.62633,14.221512
717,Kufstein,47.58308,12.16555
719,Kutno,52.226963,19.348616
720,Kuty,48.661892,17.047695
721,Kuty(Gr),48.71108,17.000406
722,Köln Hbf,50.94303,6.958729
744,Köln Messe/Deutz,50.940872,6.975001
745,Köln Messe/Deutz Gl.11-12,50.941723,6.974067
748,Köln-Ehrenfeld,50.951534,6.917276
750,Köln/Bonn Flughafen,50.878902,7.119302
753,Königs Wusterhausen,52.296635,13.631472
754,Köthen,51.75193,11.989358
756,Lahr(Schwarzw),48.340435,7.834734
758,Lancut,50.08143,22.227507
759,Landeck-Zams,47.148243,10.578392
761,Landquart,46.96744,9.554045
763,Landshut(Bay)Hbf,48.547493,12.13593
764,Landstuhl,49.416286,7.565931
765,Langen am Arlberg,47.13172,10.120375
767,Langenhagen Mitte,52.440277,9.725427
769,Leer(Ostfriesl),53.23165,7.465283
772,Legnica,51.21385,16.168922
773,Leipzig Hbf,51.34547,12.382064
782,Leipzig/Halle Flughafen,51.42334,12.223426
784,Lennestadt-Altenhundem,51.104134,8.071517
786,Lennestadt-Grevenbrück,51.14178,8.017977
788,Leoben Hbf,47.386604,15.089603
790,Lesce-Bled,46.360416,14.157971
791,Letmathe,51.36284,7.618397
793,Leverkusen Mitte,51.031513,6.991661
794,Lichtenfels,50.146454,11.059472
796,Liestal,47.484375,7.731353
798,Liezen,47.56271,14.241886
799,Limburg Süd,50.3825,8.096112
801,Lindau-Reutin,47.552383,9.703292
803,Lingen(Ems),52.519867,7.321731
805,Linz Hbf,48.29018,14.292131
812,Lippstadt,51.67069,8.348785
814,Liège-Guillemins,50.62436,5.566483
816,Ljubljana,46.05869,14.512937
817,Lubin Gorniczy,51.393955,16.195839
818,Ludwigsburg,48.89186,9.18542
819,Ludwigshafen(Rh)Hbf,49.477985,8.433402
820,Ludwigslust,53.33467,11.494491
823,Lugano,46.0055,8.946995
824,Lunderskov st,55.48012,9.303791
827,Lutherstadt Wittenberg Hbf,51.86781,12.662285
829,Luzern,47.05018,8.310183
830,Lübben(Spreewald),51.939735,13.877182
832,Lübbenau(Spreewald),51.862167,13.9609
834,Lübeck Hbf,53.867546,10.669821
838,Lüneburg,53.249657,10.41989
841,Magdeburg Hbf,52.13035,11.626891
847,Mainz Hbf,50.001118,8.25872
852,Mallnitz-Obervellach,46.981213,13.176498
854,Mannheim Hbf,49.479355,8.468921
860,Marienhafe,53.519238,7.27436
862,Memmingen,47.98558,10.186853
864,Meppen,52.696022,7.298015
866,Metzingen(Württ),48.539726,9.290156
868,Milano Centrale,45.48714,9.204824
869,Milano Porta Garibaldi,45.484436,9.187297
870,Minden(Westf),52.29014,8.934728
872,Mittenwald,47.44003,11.265705
874,Mittenwald(Gr),47.39807,11.267441
875,Montabaur,50.444836,7.825333
877,Monza,45.574825,9.273683
878,Mosonmagyarovar,47.850357,17.266424
879,Murnau,47.682266,11.192628
881,Mönchengladbach Hbf,51.196583,6.446111
886,Mühlacker,48.953194,8.846101
888,Mülheim(Ruhr)Hbf,51.431343,6.88651
891,Müllheim(Baden),47.809742,7.599332
893,München Hbf,48.140232,11.558335
912,München Hbf Gl.27-36,48.14153,11.556708
918,München Ost,48.12744,11.604971
920,München-Pasing,48.149853,11.461872
924,Münster(Westf)Hbf,51.956566,7.635715
930,Mürzzuschlag,47.60795,15.677393
932,Naumburg(Saale)Hbf,51.16307,11.796984
934,Neu-Ulm,48.39304,10.004823
936,Neumarkt/Wallersee,47.954674,13.224806
937,Neumünster,54.075752,9.979816
940,Neuss Hbf,51.20435,6.684527
941,Neustadt(Weinstr)Hbf,49.349552,8.140757
943,Neustrelitz Hbf,53.359257,13.074603
945,Niebüll,54.789604,8.834572
947,Nienburg(Weser),52.645565,9.217753
949,Norddeich,53.62158,7.160824
951,Norddeich Mole,53.624313,7.158806
952,Norden,53.588196,7.218913
954,Northeim(Han),51.70314,9.986618
956,Nove Zamky,47.995003,18.173956
957,Nürnberg Hbf,49.445618,11.082989
970,Nürtingen,48.628,9.342648
972,Oberhausen Hbf,51.474876,6.851588
977,Oberndorf(Neckar),48.29567,8.575514
979,Oberstdorf,47.411034,10.278097
981,Odense st,55.401775,10.386005
983,Offenburg,48.476475,7.946723
986,Oldenburg(Holst),54.283825,10.882838
987,Oldenburg(Oldb),53.14432,8.222713
992,Olten,47.351936,7.9077
996,Opatija Matulji,45.3647,14.32098
997,Opole Glowne,50.661514,17.925863
998,Oranienburg,52.753654,13.249613
1000,Osnabrück Hbf,52.27285,8.061781
1004,Osterholz-Scharmbeck,53.222775,8.797434
1006,Ostrava hl.n.,49.852085,18.267262
