,stop_name,stop_lat,stop_lon
0,Aachen Hbf,50.7678,6.091499
8,Aachen Schanz,50.769863,6.07384
10,Aachen Süd(Gr),50.731915,6.04541
11,Aachen West,50.78036,6.070715
14,Aachen-Rothe Erde,50.770203,6.116475
17,Aalen Hbf,48.841015,10.096271
22,Aarhus,56.150074,10.204997
23,Abenden,50.671085,6.476459
24,Abensberg,48.819454,11.84662
26,Abzw. Einthal,48.952934,12.168058
27,Achern,48.63399,8.065324
32,Achern Stadt,48.625736,8.067706
33,Achim,53.01599,9.030447
35,Achkarren,48.06009,7.60787
36,Achkarren Bahnhof,48.05957,7.608039
37,Achmer,52.39048,7.94216
39,Achterwehr,54.314915,9.964024
40,Adelebsen,51.57769,9.760044
42,Adelschlag,48.84076,11.211443
44,Adelsdorf(Mittelfr),49.474945,10.687041
45,Adelsheim Nord,49.42149,9.392754
47,Adelsheim Ost,49.403122,9.395127
49,Adorf(Erzgeb),50.76385,12.873666
50,Adorf(Vogtl),50.324394,12.260678
53,Agatharied,47.765606,11.824472
54,Agathenburg,53.56411,9.531244
56,Aglasterhausen,49.350098,8.990838
57,Aha,47.833225,8.134349
59,Ahaus,52.08168,7.016453
61,Ahlbeck Grenze,53.921967,14.215549
62,Ahlbeck Ostseetherme,53.944427,14.177287
63,Ahlen(Westf),51.761063,7.895488
65,Ahlhorn,52.899323,8.209429
67,Ahnatal-Casselbreite Gl.1 Ri. Kassel,51.36284,9.433889
68,Ahnatal-Casselbreite Gl.1 Ri. Wolfhagen,51.36284,9.433889
69,Ahnatal-Heckershausen Gl.1 Ri. Kassel,51.362988,9.422978
70,Ahnatal-Heckershausen Gl.2 Ri. Wolfhagen,51.362988,9.422978
71,Ahnatal-Weimar,51.36363,9.391588
72,Ahnatal-Weimar Gl.1 Ri. Kassel,51.363632,9.392114
73,Ahnatal-Weimar Gl.1 Ri.Wolfhagen,51.363632,9.392114
74,Ahrensburg,53.66917,10.236206
79,Ahrensburg-Gartenholz,53.68848,10.251786
81,Ahrensfelde,52.571377,13.565154
82,Ahrensfelde Friedhof,52.580883,13.573316
83,Ahrensfelde Nord,52.590687,13.581985
84,Ahrensfelde(Bz. Bremen),53.23341,8.818138
85,"Ahrensfelde, Friedhof Bhf",52.58244,13.574164
86,"Ahrensfelde, Nord Bhf",52.590416,13.581223
87,Ahrweiler,50.546543,7.107071
89,Ahrweiler Markt,50.544228,7.094229
91,Aich(Niederbay),48.417316,12.398163
92,Aichach,48.461117,11.122721
94,Aindorf,47.98704,12.357742
95,Ainring,47.815033,12.964501
96,Aix-en-Provence TGV,43.45517,5.317224
97,Albbruck,47.592236,8.131774
99,Albersdorf,54.14632,9.292151
100,Albersweiler(Pfalz),49.21847,8.024464
101,Albig,49.771374,8.116579
103,Albrechtshof,52.549397,13.128917
105,Albshausen,50.545715,8.434869
107,Albsheim(Eis),49.58075,8.179166
108,Albstadt-Ebingen,48.21029,9.026962
110,Albstadt-Ebingen West,48.21139,8.99698
112,Albstadt-Laufen Ort,48.22286,8.917316
113,Albstadt-Lautlingen,48.21364,8.95462
114,Aldekerk,51.43576,6.412542
116,Aldingen(b Spaichingen),48.095844,8.713033
118,Aletshausen,48.201313,10.383631
119,Alfeld(Leine),51.98142,9.817779
121,Alfter-Impekoven,50.711018,7.019831
123,Alfter-Witterschlick,50.689697,7.026083
125,Alken st(DK),56.0526,9.845772
126,Allendorf(Dillkr),50.743813,8.185486
127,Allensbach,47.714462,9.068852
129,Allerheiligenhöfe,47.26903,11.352969
130,Allersberg(Rothsee),49.26213,11.212573
132,Allmendingen,48.327736,9.722382
134,Alpen,51.583393,6.518041
135,Alpirsbach,48.343807,8.398251
137,Alsdorf Poststraße,50.855747,6.197075
138,Alsdorf(Westerw),50.78089,7.890486
139,Alsdorf-Annapark,50.870518,6.156661
140,Alsdorf-Busch,50.876587,6.140586
141,Alsdorf-Kellersberg,50.867527,6.167354
142,Alsdorf-Mariadorf,50.861977,6.188454
143,Alsenz,49.727493,7.817189
146,Alsfeld(Oberhess),50.75096,9.264297
149,Alsheim,49.76553,8.342462
151,Alt Hüttendorf,52.957592,13.783574
152,Alt Rosenthal,52.550404,14.278627
154,"Alt Rosenthal, Bahnhof",52.548542,14.277407
156,Altbach,48.720394,9.382384
158,Altdorf West,49.391148,11.341467
159,Altdorf(b Nürnberg),49.390007,11.35353
161,Altdöbern,51.65278,14.009236
162,Alte Veste,49.454323,10.972363
163,Altefähr,54.322926,13.14101
165,Altena(Westf),51.301983,7.668808
167,Altenau(Bay),47.648365,11.017375
168,Altenbach,51.35587,12.682324
170,Altenbamberg,49.786858,7.830745
172,Altenbeken,51.766434,8.943319
176,Altenberge,52.052258,7.481303
178,Altenerding,48.29357,11.901744
180,Altenfeld(Rhön),50.450897,9.849726
181,Altenglan,49.54864,7.461841
183,Altengörs,53.898697,10.355554
184,Altenhasungen,51.34354,9.225737
185,Altenkirchen(Westerwald),50.684418,7.638257
187,Altenmarkt(Alz),47.999817,12.536027
188,Altenseelbach,50.783836,7.992398
189,Altenstadt(Hess),50.283398,8.943977
191,Altenstadt(Iller),48.16119,10.109983
193,Altenstadt(Waldnaab),49.71568,12.16487
195,Altenstadt-Höchst,50.269768,8.923418
196,Altenstadt-Lindheim,50.291332,8.978775
197,Altenwillershagen,54.259407,12.572818
199,Altersbach,50.70064,10.544522
200,Altes Lager,52.017357,12.989048
201,Altglashütten-Falkau,47.85939,8.114113
202,Althegnenberg,48.236374,11.063003
204,Altheim(Hess),49.923332,8.890906
206,Althof,54.090443,11.922341
208,Altmarkt/Regierungspräsidium  Ri. Am Stern,51.31612,9.504504
209,Altmarkt/Regierungspräsidium  von Am Stern,51.31612,9.504504
210,Altmittweida,50.968704,12.959645
212,Altmorschen,51.067276,9.610756
214,Altomünster,48.38492,11.255133
216,Altranft,52.763367,14.082107
217,Altshausen,47.93071,9.551478
220,Altstädten(Allgäu),47.48855,10.280907
223,Alttann,47.841213,9.793037
224,Altötting,48.22124,12.67479
226,Alveslohe,53.791454,9.916375
227,Alzenau Burg,50.08793,9.07434
228,Alzenau Nord,50.089443,9.051385
229,Alzenau(Unterfr),50.088715,9.065603
230,Alzey,49.7502,8.109749
234,Alzey Süd,49.738132,8.118732
235,Alzey West,49.74098,8.107255
236,Am Stern  von Altmarkt,51.318,9.500465
237,Am Stern  von Holländ. Platz,51.318146,9.500323
238,Am Stern  von Königsplatz,51.317947,9.500235
239,Am Stern  von Lutherplatz,51.318073,9.500064
240,Am Weinberg  Ri. Heinrich-Heine-Straße,51.30726,9.487671
241,Am Weinberg  Ri. Rathaus,51.30726,9.487671
242,Amberg,49.447617,11.862902
245,Amerang,47.985836,12.306297
246,Ammern,51.233345,10.458086
247,Amorbach,49.64561,9.223147
249,Ampfing,48.25395,12.410919
251,Amriswil,47.55057,9.301917
252,Amsdorf,51.463562,11.71979
254,Amstetten(W) Lokalbahn,48.57785,9.873959
255,Amstetten(Württ),48.578327,9.872965
257,Amtshainersdorf,50.966324,14.232364
258,Andernach,50.434544,7.404839
262,Andisleben,51.0827,10.926207
264,"Andisleben, Vor dem See",51.0782,10.927638
266,Angermund,51.33075,6.781857
268,Angermünde,53.01522,13.996361
274,"Angermünde, Bahnhof",53.015823,13.995871
279,Angern-Rogätz,52.338463,11.759535
281,Angersbach,50.63077,9.44726
282,Angersdorf,51.460407,11.903139
284,Anklam,53.856102,13.701827
287,Annaberg-Buchholz Mitte,50.56679,12.999078
288,Annaberg-Buchholz Süd,50.555885,12.997404
290,Annaberg-Buchholz unterer Bf,50.57861,12.998313
292,Annaburg,51.72868,13.032757
294,Annweiler am Trifels,49.205387,7.966149
297,Annweiler-Sarnstall,49.208725,7.937192
