stop_name,stop_id,stop_lat,stop_lon
's-Hertogenbosch,10631,51.69054,5.293723
's-Hertogenbosch,6782,51.69054,5.293723
's-Hertogenbosch,8804,51.69054,5.293723
Aachen Hbf,1382,50.7678,6.091499
Aachen Hbf,13976,50.7678,6.091499
Aachen Hbf,5215,50.7678,6.091499
Aachen Hbf,6427,50.7678,6.091499
Aachen Hbf,6896,50.7678,6.091499
Aachen Hbf,760,50.7678,6.091499
Aachen Hbf,8246,50.7678,6.091499
Aachen Schanz,2825,50.769863,6.07384
Aachen Schanz,6502,50.769863,6.07384
Aachen Süd(Gr),7660,50.731915,6.04541
Aachen West,7449,50.78036,6.070715
Aachen West,878,50.78036,6.070715
Aachen-Rothe Erde,6700,50.770203,6.116475
Aachen-Rothe Erde,8963,50.770203,6.116475
Aalen Hbf,11433,48.841015,10.096271
Aalen Hbf,14550,48.841015,10.096271
Aalen Hbf,2531,48.841015,10.096271
Aalen Hbf,3854,48.841015,10.096271
Aalen Hbf,5820,48.841015,10.096271
Aarhus,5220,56.150074,10.204997
Abenden,14194,50.671085,6.476459
Abensberg,1860,48.819454,11.84662
Abensberg,2047,48.819454,11.84662
Abensberg,4271,48.819454,11.84662
Abzw. Einthal,3116,48.952934,12.168058
Achern,11451,48.63399,8.065324
Achern,11821,48.63399,8.065324
Achern,1525,48.63399,8.065324
Achern,2329,48.63399,8.065324
Achern,6158,48.63399,8.065324
Achern Stadt,12743,48.625736,8.067706
Achim,10460,53.01599,9.030447
Achim,6774,53.01599,9.030447
Achkarren,14052,48.06009,7.60787
Achkarren Bahnhof,11615,48.05957,7.608039
Achmer,14299,52.39048,7.94216
Achmer,257,52.39048,7.94216
Achterwehr,7451,54.314915,9.964024
Adelebsen,12438,51.57769,9.760044
Adelebsen,2636,51.57769,9.760044
Adelschlag,3801,48.84076,11.211443
Adelschlag,3832,48.84076,11.211443
Adelsdorf(Mittelfr),2959,49.474945,10.687041
Adelsheim Nord,5974,49.42149,9.392754
Adelsheim Nord,7045,49.42149,9.392754
Adelsheim Ost,2190,49.403122,9.395127
Adelsheim Ost,6136,49.403122,9.395127
Adorf(Erzgeb),8018,50.76385,12.873666
Adorf(Vogtl),14440,50.324394,12.260678
Adorf(Vogtl),14486,50.324394,12.260678
Adorf(Vogtl),4658,50.324394,12.260678
Adorf(Vogtl),8641,50.324394,12.260678
Agatharied,152,47.765606,11.824472
Agathenburg,11991,53.56411,9.531244
Agathenburg,4838,53.56411,9.531244
Aglasterhausen,10820,49.350098,8.990838
Aha,10078,47.833225,8.134349
Aha,10191,47.833225,8.134349
Ahaus,13369,52.08168,7.016453
Ahaus,14744,52.08168,7.016453
Ahaus,9094,52.08168,7.016453
Ahlbeck Grenze,12149,53.921967,14.215549
Ahlbeck Ostseetherme,12048,53.944427,14.177287
Ahlen(Westf),3284,51.761063,7.895488
Ahlen(Westf),4768,51.761063,7.895488
Ahlhorn,12122,52.899323,8.209429
Ahlhorn,8671,52.899323,8.209429
Ahnatal-Casselbreite Gl.1 Ri. Kassel,5356,51.36284,9.433889
Ahnatal-Casselbreite Gl.1 Ri. Wolfhagen,13884,51.36284,9.433889
Ahnatal-Heckershausen Gl.1 Ri. Kassel,3296,51.362988,9.422978
Ahnatal-Heckershausen Gl.2 Ri. Wolfhagen,10844,51.362988,9.422978
Ahnatal-Weimar,3026,51.36363,9.391588
Ahnatal-Weimar Gl.1 Ri. Kassel,6862,51.363632,9.392114
Ahnatal-Weimar Gl.1 Ri.Wolfhagen,5728,51.363632,9.392114
Ahrensburg,10776,53.66917,10.236206
Ahrensburg,11428,53.66917,10.236206
Ahrensburg,14349,53.66917,10.236206
Ahrensburg,14397,53.66917,10.236206
Ahrensburg,4486,53.66917,10.236206
Ahrensburg-Gartenholz,10281,53.68848,10.251786
Ahrensburg-Gartenholz,9058,53.68848,10.251786
Ahrensfelde,9023,52.571377,13.565154
Ahrensfelde Friedhof,652,52.580883,13.573316
Ahrensfelde Nord,6940,52.590687,13.581985
Ahrweiler,12349,50.546543,7.107071
Ahrweiler,13641,50.546543,7.107071
Ahrweiler Markt,13031,50.544228,7.094229
