monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20220508,20220515,68
0,0,0,0,0,1,1,20220508,20220514,25
0,0,0,0,0,1,1,20220508,20220515,73
0,0,0,0,0,1,1,20220514,20220515,67
0,0,0,0,1,0,1,20220508,20220513,51
0,0,0,0,1,0,1,20220508,20220515,66
0,0,0,0,1,0,1,20220513,20220515,4
0,0,0,0,1,1,0,20220513,20220514,21
0,0,0,0,1,1,1,20220508,20220515,86
0,0,0,0,1,1,1,20220513,20220515,1
0,0,0,1,0,0,1,20220508,20220512,53
0,0,0,1,1,0,0,20220512,20220513,27
0,0,0,1,1,1,1,20220508,20220515,46
0,0,0,1,1,1,1,20220512,20220515,54
0,0,1,0,0,1,1,20220511,20220515,44
0,0,1,0,1,0,0,20220511,20220513,37
0,0,1,1,0,0,0,20220511,20220512,22
0,0,1,1,0,0,1,20220508,20220512,29
0,0,1,1,0,1,0,20220511,20220514,15
0,0,1,1,0,1,1,20220508,20220515,40
0,0,1,1,1,0,0,20220511,20220513,80
0,0,1,1,1,1,0,20220511,20220514,26
0,0,1,1,1,1,1,20220511,20220515,82
0,1,0,0,0,1,1,20220508,20220515,64
0,1,0,0,1,0,0,20220510,20220513,5
0,1,0,1,0,0,0,20220510,20220512,59
0,1,0,1,1,0,0,20220510,20220513,43
0,1,1,0,0,0,0,20220510,20220511,39
0,1,1,1,0,0,0,20220510,20220512,3
0,1,1,1,0,0,1,20220510,20220515,58
0,1,1,1,0,1,1,20220510,20220515,31
0,1,1,1,1,0,0,20220510,20220513,77
0,1,1,1,1,0,1,20220508,20220513,41
0,1,1,1,1,1,0,20220510,20220514,9
0,1,1,1,1,1,1,20220508,20220515,20
0,1,1,1,1,1,1,20220510,20220515,38
1,0,0,0,0,0,1,20220508,20220509,10
1,0,0,0,0,0,1,20220509,20220515,57
1,0,0,0,0,1,1,20220508,20220515,14
1,0,0,0,0,1,1,20220509,20220515,81
1,0,0,0,1,0,0,20220509,20220513,35
1,0,0,0,1,0,1,20220508,20220513,52
1,0,0,0,1,0,1,20220508,20220515,56
1,0,0,0,1,1,0,20220509,20220514,47
1,0,0,0,1,1,1,20220508,20220515,19
1,0,0,0,1,1,1,20220509,20220515,79
1,0,1,0,0,0,0,20220509,20220511,34
1,0,1,1,0,0,0,20220509,20220512,30
1,0,1,1,0,0,1,20220508,20220512,55
1,0,1,1,1,0,0,20220509,20220513,2
1,1,0,0,0,0,0,20220509,20220510,76
1,1,0,0,0,0,1,20220508,20220510,36
1,1,0,0,1,0,0,20220509,20220513,42
1,1,0,0,1,0,1,20220508,20220513,23
1,1,0,0,1,1,1,20220508,20220515,32
1,1,0,1,1,0,0,20220509,20220513,16
1,1,0,1,1,1,1,20220508,20220515,24
1,1,1,0,0,0,0,20220509,20220511,85
1,1,1,0,0,0,1,20220508,20220511,50
1,1,1,0,0,0,1,20220508,20220515,28
1,1,1,0,1,0,0,20220509,20220513,49
1,1,1,0,1,1,1,20220508,20220515,33
1,1,1,0,1,1,1,20220509,20220515,8
1,1,1,1,0,0,0,20220509,20220512,62
1,1,1,1,0,0,1,20220508,20220512,7
1,1,1,1,0,0,1,20220508,20220515,13
1,1,1,1,0,0,1,20220509,20220515,18
1,1,1,1,0,1,0,20220509,20220514,17
1,1,1,1,0,1,1,20220508,20220515,6
1,1,1,1,0,1,1,20220509,20220515,45
1,1,1,1,1,0,0,20220509,20220513,72
1,1,1,1,1,0,1,20220508,20220513,69
1,1,1,1,1,0,1,20220508,20220515,83
1,1,1,1,1,0,1,20220509,20220515,12
1,1,1,1,1,1,0,20220509,20220514,61
1,1,1,1,1,1,1,20220508,20220514,75
1,1,1,1,1,1,1,20220508,20220515,65
1,1,1,1,1,1,1,20220509,20220515,84
