stop_name,stop_id,stop_lat,stop_lon
's-Hertogenbosch,1206,51.69054,5.293723
's-Hertogenbosch,310,51.69054,5.293723
's-Hertogenbosch,417,51.69054,5.293723
's-Hertogenbosch,790,51.69054,5.293723
Aachen Hbf,559,50.7678,6.091499
Aachen Hbf,647,50.7678,6.091499
Aachen Hbf,918,50.7678,6.091499
Aachen Süd(Gr),727,50.731915,6.04541
Aalen Hbf,1225,48.841015,10.096271
Aalen Hbf,898,48.841015,10.096271
Aarhus,1244,56.150074,10.204997
Aarhus,1412,56.150074,10.204997
Aarhus,680,56.150074,10.204997
Aarhus,766,56.150074,10.204997
Aarhus,891,56.150074,10.204997
Alfeld(Leine),1276,51.98142,9.817779
Alfeld(Leine),1352,51.98142,9.817779
Almelo,1163,52.357285,6.654811
Almelo,1166,52.357285,6.654811
Altena(Westf),13,51.301983,7.668808
Altena(Westf),467,51.301983,7.668808
Altenbeken,1153,51.766434,8.943319
Altenbeken,711,51.766434,8.943319
Amersfoort Centraal,1380,52.153465,5.373909
Amersfoort Centraal,1381,52.153465,5.373909
Amersfoort Centraal,888,52.153465,5.373909
Amsterdam Centraal,104,52.37919,4.899431
Amsterdam Centraal,1172,52.37919,4.899431
Amsterdam Centraal,1333,52.37919,4.899431
Amsterdam Centraal,1337,52.37919,4.899431
Amsterdam Centraal,1374,52.37919,4.899431
Amsterdam Centraal,156,52.37919,4.899431
Amsterdam Centraal,342,52.37919,4.899431
Amsterdam Centraal,442,52.37919,4.899431
Amsterdam Centraal,460,52.37919,4.899431
Amsterdam Centraal,623,52.37919,4.899431
Amsterdam Centraal,629,52.37919,4.899431
Amstetten NÖ,1001,48.121605,14.878112
Amstetten NÖ,820,48.121605,14.878112
Andernach,1017,50.434544,7.404839
Andernach,1310,50.434544,7.404839
Andernach,844,50.434544,7.404839
Angermünde,1228,53.01522,13.996361
Angermünde,966,53.01522,13.996361
Anklam,265,53.856102,13.701827
Anklam,79,53.856102,13.701827
Ansbach,1057,49.29803,10.578239
Ansbach,782,49.29803,10.578239
Apeldoorn,182,52.20943,5.967491
Apeldoorn,627,52.20943,5.967491
Apeldoorn,910,52.20943,5.967491
Apolda,1332,51.03094,11.526136
Apolda,443,51.03094,11.526136
Arnhem Centraal,235,51.98478,5.901003
Arnhem Centraal,364,51.98478,5.901003
Arnhem Centraal,763,51.98478,5.901003
Arnhem Centraal,802,51.98478,5.901003
Arth-Goldau,723,47.049046,8.549446
Aschaffenburg Hbf,202,49.980556,9.143697
Aschaffenburg Hbf,953,49.980556,9.143697
Attnang-Puchheim,218,48.012802,13.720719
Augsburg Hbf,116,48.36544,10.88557
Augsburg Hbf,1189,48.36544,10.88557
Augsburg Hbf,1230,48.36544,10.88557
Augsburg Hbf,319,48.36544,10.88557
Augsburg Hbf,330,48.36544,10.88557
Augsburg Hbf,385,48.36544,10.88557
Augsburg Hbf,643,48.36544,10.88557
Augustfehn,1257,53.22089,7.759659
Augustfehn,1328,53.22089,7.759659
Aulendorf,378,47.953053,9.644046
Aulendorf,749,47.953053,9.644046
Bad Bentheim,1080,52.30985,7.158539
Bad Bentheim,969,52.30985,7.158539
Bad Bentheim(Gr),572,52.3091,7.04016
Bad Bevensen,1372,53.078247,10.574141
Bad Bevensen,199,53.078247,10.574141
Bad Endorf,562,47.905067,12.301558
Bad Endorf,761,47.905067,12.301558
Bad Gastein,86,47.111744,13.132456
Bad Hersfeld,1396,50.869633,9.716182
Bad Hersfeld,444,50.869633,9.716182
Bad Hofgastein,1312,47.195713,13.100939
Bad Hofgastein,138,47.195713,13.100939
Bad Kleinen,1203,53.766975,11.466925
Bad Kleinen,779,53.766975,11.466925
Bad Krozingen,1138,47.91972,7.697632
Bad Krozingen,441,47.91972,7.697632
Bad Nauheim,1267,50.367905,8.749334
Bad Nauheim,843,50.367905,8.749334
Bad Oeynhausen,1174,52.2054,8.796523
Bad Oeynhausen,671,52.2054,8.796523
Bad Schandau,1122,50.91929,14.137538
Bad Schandau,821,50.91929,14.137538
Bad Zwischenahn,332,53.18255,8.003123
Baden-Baden,1406,48.790325,8.190831
Baden-Baden,702,48.790325,8.190831
Bamberg,517,49.90076,10.899489
Bamberg,973,49.90076,10.899489
Basel Bad Bf,1028,47.567287,7.607805
Basel Bad Bf,1317,47.567287,7.607805
Basel SBB,1095,47.547405,7.589551
Basel SBB,1160,47.547405,7.589551
Basel SBB,1164,47.547405,7.589551
Basel SBB,1370,47.547405,7.589551
Basel SBB,1375,47.547405,7.589551
Basel SBB,244,47.547405,7.589551
Basel SBB,383,47.547405,7.589551
Basel SBB,420,47.547405,7.589551
Basel SBB,675,47.547405,7.589551
Basel SBB,878,47.547405,7.589551
Bebra,1279,50.969566,9.797788
Bebra,260,50.969566,9.797788
