monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20220508,20220515,24
0,0,0,0,0,1,1,20220508,20220514,35
0,0,0,0,0,1,1,20220508,20220515,12
0,0,0,0,0,1,1,20220514,20220515,10
0,0,0,0,1,0,1,20220508,20220513,72
0,0,0,0,1,0,1,20220508,20220515,90
0,0,0,0,1,0,1,20220513,20220515,60
0,0,0,0,1,1,0,20220513,20220514,30
0,0,0,0,1,1,1,20220508,20220514,123
0,0,0,0,1,1,1,20220508,20220515,19
0,0,0,0,1,1,1,20220513,20220515,39
0,0,0,1,0,0,1,20220508,20220512,3
0,0,0,1,0,0,1,20220508,20220515,135
0,0,0,1,0,1,1,20220508,20220515,129
0,0,0,1,1,0,0,20220512,20220513,16
0,0,0,1,1,0,1,20220508,20220515,136
0,0,0,1,1,0,1,20220512,20220515,128
0,0,0,1,1,1,0,20220512,20220514,126
0,0,0,1,1,1,1,20220508,20220515,45
0,0,0,1,1,1,1,20220512,20220515,63
0,0,1,0,0,0,1,20220508,20220511,130
0,0,1,0,0,0,1,20220508,20220515,148
0,0,1,0,0,1,1,20220508,20220515,162
0,0,1,0,1,0,0,20220511,20220513,50
0,0,1,0,1,0,1,20220508,20220513,87
0,0,1,0,1,0,1,20220508,20220515,76
0,0,1,0,1,1,0,20220511,20220514,124
0,0,1,0,1,1,1,20220508,20220515,140
0,0,1,0,1,1,1,20220511,20220515,64
0,0,1,1,0,0,0,20220511,20220512,49
0,0,1,1,0,0,1,20220508,20220515,113
0,0,1,1,0,1,0,20220511,20220514,4
0,0,1,1,0,1,1,20220511,20220515,102
0,0,1,1,1,0,0,20220511,20220513,52
0,0,1,1,1,0,1,20220508,20220513,83
0,0,1,1,1,0,1,20220508,20220515,147
0,0,1,1,1,0,1,20220511,20220515,94
0,0,1,1,1,1,0,20220511,20220514,58
0,0,1,1,1,1,1,20220508,20220514,153
0,0,1,1,1,1,1,20220508,20220515,81
0,0,1,1,1,1,1,20220511,20220515,40
0,1,0,0,0,0,1,20220508,20220510,133
0,1,0,0,0,1,1,20220510,20220515,84
0,1,0,0,1,0,0,20220510,20220513,117
0,1,0,0,1,1,1,20220508,20220515,115
0,1,0,1,0,0,0,20220510,20220512,107
0,1,0,1,0,0,1,20220510,20220515,106
0,1,0,1,0,1,1,20220510,20220515,92
0,1,0,1,1,0,0,20220510,20220513,114
0,1,0,1,1,1,0,20220510,20220514,145
0,1,0,1,1,1,1,20220508,20220515,79
0,1,0,1,1,1,1,20220510,20220515,132
0,1,1,0,0,0,0,20220510,20220511,29
0,1,1,0,0,0,1,20220508,20220515,142
0,1,1,0,0,0,1,20220510,20220515,62
0,1,1,0,0,1,0,20220510,20220514,2
0,1,1,0,0,1,1,20220508,20220515,68
0,1,1,0,1,0,0,20220510,20220513,101
0,1,1,0,1,1,1,20220508,20220515,28
0,1,1,0,1,1,1,20220510,20220515,21
0,1,1,1,0,0,0,20220510,20220512,47
0,1,1,1,0,0,1,20220508,20220512,109
0,1,1,1,0,0,1,20220508,20220515,82
0,1,1,1,0,0,1,20220510,20220515,125
0,1,1,1,0,1,1,20220508,20220515,161
0,1,1,1,0,1,1,20220510,20220515,95
0,1,1,1,1,0,0,20220510,20220513,25
0,1,1,1,1,0,1,20220508,20220513,116
0,1,1,1,1,0,1,20220508,20220515,156
0,1,1,1,1,0,1,20220510,20220515,112
0,1,1,1,1,1,0,20220510,20220514,42
0,1,1,1,1,1,1,20220508,20220514,152
0,1,1,1,1,1,1,20220508,20220515,33
0,1,1,1,1,1,1,20220510,20220515,56
1,0,0,0,0,0,1,20220508,20220509,17
1,0,0,0,0,0,1,20220508,20220515,80
1,0,0,0,0,0,1,20220509,20220515,119
1,0,0,0,0,1,0,20220509,20220514,74
1,0,0,0,0,1,1,20220508,20220514,154
1,0,0,0,0,1,1,20220508,20220515,97
1,0,0,0,0,1,1,20220509,20220515,160
1,0,0,0,1,0,0,20220509,20220513,105
1,0,0,0,1,0,1,20220509,20220515,146
1,0,0,0,1,1,0,20220509,20220514,91
1,0,0,0,1,1,1,20220508,20220515,103
1,0,0,0,1,1,1,20220509,20220515,141
1,0,0,1,0,0,0,20220509,20220512,48
1,0,0,1,0,1,1,20220508,20220515,6
1,0,0,1,0,1,1,20220509,20220515,149
1,0,0,1,1,0,0,20220509,20220513,70
1,0,0,1,1,0,1,20220508,20220515,157
1,0,0,1,1,1,0,20220509,20220514,86
1,0,0,1,1,1,1,20220508,20220515,55
1,0,0,1,1,1,1,20220509,20220515,96
1,0,1,0,0,0,0,20220509,20220511,111
1,0,1,0,0,0,1,20220509,20220515,143
1,0,1,0,0,1,1,20220508,20220515,77
1,0,1,0,1,0,0,20220509,20220513,93
1,0,1,1,0,0,0,20220509,20220512,73
1,0,1,1,0,0,1,20220508,20220515,108
1,0,1,1,0,0,1,20220509,20220515,131
1,0,1,1,0,1,1,20220508,20220514,100
1,0,1,1,0,1,1,20220508,20220515,121
1,0,1,1,1,0,0,20220509,20220513,66
1,0,1,1,1,0,1,20220508,20220513,89
1,0,1,1,1,1,1,20220508,20220514,5
1,0,1,1,1,1,1,20220508,20220515,61
1,0,1,1,1,1,1,20220509,20220515,118
1,1,0,0,0,0,0,20220509,20220510,41
1,1,0,0,0,0,1,20220508,20220510,67
1,1,0,0,0,0,1,20220508,20220515,137
1,1,0,0,0,1,1,20220508,20220514,110
1,1,0,0,0,1,1,20220508,20220515,104
1,1,0,0,0,1,1,20220509,20220515,85
1,1,0,0,1,0,0,20220509,20220513,120
1,1,0,0,1,0,1,20220508,20220513,144
1,1,0,0,1,0,1,20220509,20220515,158
1,1,0,0,1,1,0,20220509,20220514,138
1,1,0,0,1,1,1,20220508,20220514,159
1,1,0,0,1,1,1,20220508,20220515,75
1,1,0,1,0,0,0,20220509,20220512,65
1,1,0,1,0,0,1,20220508,20220512,122
1,1,0,1,0,0,1,20220508,20220515,69
1,1,0,1,1,0,0,20220509,20220513,88
1,1,0,1,1,0,1,20220508,20220515,139
1,1,0,1,1,1,0,20220509,20220514,150
1,1,0,1,1,1,1,20220508,20220515,78
1,1,1,0,0,0,0,20220509,20220511,57
1,1,1,0,0,0,1,20220508,20220511,37
1,1,1,0,0,0,1,20220508,20220515,155
1,1,1,0,0,0,1,20220509,20220515,163
1,1,1,0,0,1,0,20220509,20220514,71
1,1,1,0,0,1,1,20220508,20220514,1
1,1,1,0,0,1,1,20220508,20220515,59
1,1,1,0,0,1,1,20220509,20220515,127
1,1,1,0,1,0,0,20220509,20220513,54
1,1,1,0,1,1,0,20220509,20220514,134
1,1,1,0,1,1,1,20220508,20220515,53
1,1,1,0,1,1,1,20220509,20220515,151
1,1,1,1,0,0,0,20220509,20220512,26
1,1,1,1,0,0,1,20220508,20220512,27
1,1,1,1,0,0,1,20220508,20220515,36
1,1,1,1,0,0,1,20220509,20220515,38
1,1,1,1,0,1,0,20220509,20220514,22
1,1,1,1,0,1,1,20220508,20220514,98
1,1,1,1,0,1,1,20220508,20220515,32
1,1,1,1,0,1,1,20220509,20220515,99
1,1,1,1,1,0,0,20220509,20220513,9
1,1,1,1,1,0,1,20220508,20220513,23
1,1,1,1,1,0,1,20220508,20220515,31
1,1,1,1,1,0,1,20220509,20220515,34
1,1,1,1,1,1,0,20220509,20220514,14
