route_long_name,route_short_name,agency_id,route_type,route_id
00A,00A,13,2,292
00B,00B,13,2,153
1,1,15,2,8
1,RE,15,2,225
10,10,14,2,56
10,10,15,2,120
10,RE,15,2,394
10a,10a,15,2,14
10b,10b,15,2,252
11,11,14,2,234
111,111,11,2,194
12,12,15,2,272
13,13,15,2,157
140,140,15,2,393
145,145,15,2,373
14A,14A,15,2,254
14B,14B,15,2,309
15,15,14,2,76
16,RE,15,2,360
18,RE,15,2,406
19,RE,15,2,346
2,S,15,2,403
20,20,18,2,317
20,RE,15,2,398
24,RE,15,2,383
26,26,15,2,290
27,27,15,2,235
28,28,15,2,12
29,RE,15,2,232
3,3,15,2,213
3,IRE,15,2,128
3,RB,15,2,339
3,S,15,2,332
30,30,15,2,357
32,32,15,2,381
32,RE,15,2,325
34,S,15,2,246
35,IRE,15,2,2
4,4,14,2,146
4,S,15,2,404
4A,4A,15,2,10
5,5,14,2,41
50,50,15,2,228
50,IRE,15,2,344
52,RB,15,2,363
59,59,15,2,181
6,6,14,2,229
6,IRE,15,2,295
6,RB,15,2,79
61,61,15,2,248
62,62,15,2,242
65,65,15,2,54
66,66,15,2,298
67,67,15,2,131
69,69,15,2,186
7,7,14,2,74
7,S,15,2,390
71,71,15,2,340
72,72,15,2,238
73,73,15,2,215
734,734,6,2,5
737,737,6,2,138
78,78,15,2,299
8,8,14,2,17
80,80,15,2,376
80,RB,15,2,370
82,82,15,2,109
83,83,15,2,368
83,RB,15,2,396
84,84,15,2,189
89,89,15,2,28
8X,8X,15,2,407
9,9,14,2,25
9,9,15,2,105
90,90,15,2,151
91,91,15,2,330
93,RB,15,2,400
A1,A1,15,2,63
A2,A2,15,2,162
A3,A3,15,2,113
AIR,AIR,15,2,334
C11,C11,15,2,152
C13,C13,15,2,175
C14,C14,15,2,166
C15,C15,15,2,150
CD 030,CD 030,13,2,112
CD 034,CD 034,13,2,306
CD 035,CD 035,13,2,279
CD 036,CD 036,13,2,275
CD 037,CD 037,13,2,282
CD 038,CD 038,13,2,214
CD 040,CD 040,13,2,193
CD 041,CD 041,13,2,342
CD 042,CD 042,13,2,284
CD 044,CD 044,13,2,217
CD 064,CD 064,13,2,201
CD 070,CD 070,13,2,97
CD 080,CD 080,13,2,336
CD 081,CD 081,13,2,144
CD 083,CD 083,13,2,366
CD 084,CD 084,13,2,283
CD 085,CD 085,13,2,287
CD 086,CD 086,13,2,270
CD 087,CD 087,13,2,285
Chiemseebahn,Chiemseebahn,16,2,369
DPF,DPF,15,2,258
DPN,DPN,15,2,4
DWE,DWE,12,2,347
E,E,14,2,278
E,E,15,2,349
ECW,ECW,15,2,372
EX,EX,15,2,389
FEX,FEX,15,2,115
GA90,GA90,15,2,379
HSB,HSB,4,2,177
INT,INT,15,2,9
IRE,IRE,15,2,382
IRE1,IRE1,15,2,212
IRE6,IRE6,15,2,297
KBM,KBM,5,2,355
KBS 238,KBS 238,13,2,182
KD 252,KD 252,13,2,356
KD 255,KD 255,13,2,353
KJ1,KJ1,5,2,350
L7,L7,15,2,220
MBB,MBB,2,2,11
MEX,MEX,15,2,358
MEX13,MEX13,15,2,155
MEX16,MEX16,15,2,172
N2,N2,14,2,384
N4,N4,14,2,293
NJ,NJ,15,2,335
Os,Os,15,2,377
PE,PE,7,2,231
PR 240,PR 240,13,2,197
PR 260,PR 260,13,2,92
PR 356,PR 356,13,2,207
R,R,15,2,222
RB,RB,15,2,343
RB1,RB1,15,2,190
RB10,RB10,15,2,326
RB107,RB107,15,2,331
RB11,RB11,15,2,77
RB110,RB110,15,2,95
RB113,RB113,15,2,256
RB12,RB12,15,2,43
RB12,RB12,19,2,121
RB13,RB13,15,2,39
RB14,RB14,15,2,164
RB15,RB15,15,2,32
RB16,RB16,15,2,303
RB17,RB17,15,2,253
RB18,RB18,15,2,362
RB2,RB2,15,2,391
RB20,RB20,15,2,226
RB20a,RB20a,15,2,265
RB21,RB21,15,2,179
RB22,RB22,15,2,233
RB23,RB23,15,2,163
RB24,RB24,15,2,210
RB25,RB25,15,2,114
RB25,RB25,19,2,204
RB26,RB26,15,2,200
RB26,RB26,19,2,94
RB27,RB27,15,2,351
RB27,RB27,19,2,50
RB28,RB28,15,2,137
RB29,RB29,15,2,58
RB3,RB3,15,2,276
RB30,RB30,15,2,302
RB31,RB31,15,2,65
RB32,RB32,15,2,310
RB32a,RB32a,15,2,312
RB33,RB33,15,2,104
RB34,RB34,15,2,171
RB35,RB35,15,2,64
RB35,RB35,19,2,89
RB36,RB36,15,2,149
RB36,RB36,19,2,165
RB37,RB37,15,2,271
RB38,RB38,15,2,48
RB39,RB39,15,2,30
RB4,RB4,15,2,277
RB40,RB40,15,2,123
RB41,RB41,15,2,221
RB42,RB42,15,2,91
RB42a,RB42a,15,2,333
RB43,RB43,15,2,230
RB43a,RB43a,15,2,321
RB44,RB44,15,2,122
RB45,RB45,15,2,101
RB46,RB46,15,2,132
RB46,RB46,20,2,145
RB47,RB47,15,2,26
RB47,RB47,20,2,33
RB48,RB48,15,2,35
RB49,RB49,15,2,106
RB5,RB5,15,2,57
RB50,RB50,15,2,281
RB51,RB51,15,2,167
RB52,RB52,15,2,18
RB53,RB53,15,2,102
RB54,RB54,15,2,99
RB54,RB54,19,2,308
RB55,RB55,15,2,119
RB56,RB56,15,2,250
RB57,RB57,15,2,49
RB58,RB58,15,2,22
RB59,RB59,15,2,323
RB59a,RB59a,15,2,345
RB6,RB6,15,2,90
RB60,RB60,15,2,338
RB61,RB61,15,2,168
RB61,RB61,20,2,280
RB62,RB62,15,2,103
RB62,RB62,19,2,72
RB63,RB63,15,2,70
RB64,RB64,15,2,40
RB65,RB65,15,2,87
