stop_name,stop_id,stop_lat,stop_lon
Aachen Hbf,11627,50.7678,6.091499
Aachen Hbf,13958,50.7678,6.091499
Aachen Hbf,1427,50.7678,6.091499
Aachen Hbf,3242,50.7678,6.091499
Aachen Hbf,3371,50.7678,6.091499
Aachen Hbf,6600,50.7678,6.091499
Aachen Hbf,8504,50.7678,6.091499
Aachen Hbf,9238,50.7678,6.091499
Aachen Schanz,1177,50.769863,6.07384
Aachen Schanz,4952,50.769863,6.07384
Aachen Süd(Gr),14175,50.731915,6.04541
Aachen West,11745,50.78036,6.070715
Aachen West,13442,50.78036,6.070715
Aachen West,2747,50.78036,6.070715
Aachen-Rothe Erde,11448,50.770203,6.116475
Aachen-Rothe Erde,8515,50.770203,6.116475
Aachen-Rothe Erde,8791,50.770203,6.116475
Aalen Hbf,2043,48.841015,10.096271
Aalen Hbf,2088,48.841015,10.096271
Aalen Hbf,6924,48.841015,10.096271
Aalen Hbf,7817,48.841015,10.096271
Aalen Hbf,8598,48.841015,10.096271
Aarhus,9784,56.150074,10.204997
Abenden,9675,50.671085,6.476459
Abensberg,14989,48.819454,11.84662
Abensberg,2376,48.819454,11.84662
Abzw. Einthal,14133,48.952934,12.168058
Achern,11691,48.63399,8.065324
Achern,14086,48.63399,8.065324
Achern,3417,48.63399,8.065324
Achern,5024,48.63399,8.065324
Achern,9306,48.63399,8.065324
Achern Stadt,2949,48.625736,8.067706
Achim,2176,53.01599,9.030447
Achim,5753,53.01599,9.030447
Achkarren,11596,48.06009,7.60787
Achkarren Bahnhof,14895,48.05957,7.608039
Achmer,5742,52.39048,7.94216
Achmer,9723,52.39048,7.94216
Achterwehr,7766,54.314915,9.964024
Adelebsen,13615,51.57769,9.760044
Adelebsen,3566,51.57769,9.760044
Adelschlag,13383,48.84076,11.211443
Adelschlag,6535,48.84076,11.211443
Adelsdorf(Mittelfr),6004,49.474945,10.687041
Adelsheim Nord,10317,49.42149,9.392754
Adelsheim Nord,2005,49.42149,9.392754
Adelsheim Ost,13255,49.403122,9.395127
Adelsheim Ost,7246,49.403122,9.395127
Adorf(Erzgeb),8317,50.76385,12.873666
Adorf(Vogtl),14601,50.324394,12.260678
Adorf(Vogtl),3785,50.324394,12.260678
Adorf(Vogtl),4517,50.324394,12.260678
Agatharied,3696,47.765606,11.824472
Agathenburg,13957,53.56411,9.531244
Agathenburg,14190,53.56411,9.531244
Aglasterhausen,1702,49.350098,8.990838
Aha,12411,47.833225,8.134349
Aha,7801,47.833225,8.134349
Ahaus,1638,52.08168,7.016453
Ahaus,8982,52.08168,7.016453
Ahlbeck Grenze,2333,53.921967,14.215549
Ahlbeck Ostseetherme,14759,53.944427,14.177287
Ahlen(Westf),6147,51.761063,7.895488
Ahlen(Westf),8969,51.761063,7.895488
Ahlhorn,119,52.899323,8.209429
Ahlhorn,1555,52.899323,8.209429
Ahnatal-Casselbreite Gl.1 Ri. Kassel,562,51.36284,9.433889
Ahnatal-Casselbreite Gl.1 Ri. Wolfhagen,9207,51.36284,9.433889
Ahnatal-Heckershausen Gl.1 Ri. Kassel,7449,51.362988,9.422978
Ahnatal-Heckershausen Gl.2 Ri. Wolfhagen,8149,51.362988,9.422978
Ahnatal-Weimar,13904,51.36363,9.391588
Ahnatal-Weimar Gl.1 Ri. Kassel,8001,51.363632,9.392114
Ahnatal-Weimar Gl.1 Ri.Wolfhagen,7191,51.363632,9.392114
Ahrensburg,11631,53.66917,10.236206
Ahrensburg,1395,53.66917,10.236206
Ahrensburg,14100,53.66917,10.236206
Ahrensburg,5808,53.66917,10.236206
Ahrensburg,7578,53.66917,10.236206
Ahrensburg-Gartenholz,12298,53.68848,10.251786
Ahrensburg-Gartenholz,6180,53.68848,10.251786
Ahrensfelde,11920,52.571377,13.565154
Ahrensfelde Friedhof,1137,52.580883,13.573316
Ahrensfelde Nord,9139,52.590687,13.581985
Ahrensfelde(Bz. Bremen),9401,53.23341,8.818138
"Ahrensfelde, Friedhof Bhf",13593,52.58244,13.574164
"Ahrensfelde, Nord Bhf",13368,52.590416,13.581223
Ahrweiler,1245,50.546543,7.107071
Ahrweiler,9672,50.546543,7.107071
Ahrweiler Markt,1230,50.544228,7.094229
Ahrweiler Markt,2970,50.544228,7.094229
Aich(Niederbay),8728,48.417316,12.398163
Aichach,255,48.461117,11.122721
Aichach,3148,48.461117,11.122721
Aindorf,50,47.98704,12.357742
Ainring,7339,47.815033,12.964501
Aix-en-Provence TGV,10026,43.45517,5.317224
Albbruck,4249,47.592236,8.131774
Albbruck,781,47.592236,8.131774
Albersdorf,4137,54.14632,9.292151
Albersweiler(Pfalz),10523,49.21847,8.024464
Albig,12714,49.771374,8.116579
Albig,260,49.771374,8.116579
Albrechtshof,11192,52.549397,13.128917
Albrechtshof,9010,52.549397,13.128917
Albshausen,3055,50.545715,8.434869
Albshausen,384,50.545715,8.434869
Albsheim(Eis),14994,49.58075,8.179166
Albstadt-Ebingen,1142,48.21029,9.026962
Albstadt-Ebingen,3264,48.21029,9.026962
Albstadt-Ebingen West,1715,48.21139,8.99698
Albstadt-Ebingen West,2744,48.21139,8.99698
Albstadt-Laufen Ort,12700,48.22286,8.917316
Albstadt-Lautlingen,14270,48.21364,8.95462
Aldekerk,212,51.43576,6.412542
Aldekerk,8911,51.43576,6.412542
Aldingen(b Spaichingen),9367,48.095844,8.713033
Aldingen(b Spaichingen),9570,48.095844,8.713033
Aletshausen,1479,48.201313,10.383631
Alfeld(Leine),9246,51.98142,9.817779
Alfeld(Leine),9929,51.98142,9.817779
Alfter-Impekoven,10041,50.711018,7.019831
Alfter-Impekoven,12259,50.711018,7.019831
Alfter-Witterschlick,10145,50.689697,7.026083
Alfter-Witterschlick,3668,50.689697,7.026083
Alken st(DK),8771,56.0526,9.845772
