stop_name,stop_id,stop_lat,stop_lon
's-Hertogenbosch,1408,51.69054,5.293723
's-Hertogenbosch,292,51.69054,5.293723
's-Hertogenbosch,481,51.69054,5.293723
's-Hertogenbosch,835,51.69054,5.293723
Aachen Hbf,1396,50.7678,6.091499
Aachen Hbf,193,50.7678,6.091499
Aachen Hbf,271,50.7678,6.091499
Aachen Süd(Gr),136,50.731915,6.04541
Aalen Hbf,1052,48.841015,10.096271
Aalen Hbf,870,48.841015,10.096271
Aarhus,1317,56.150074,10.204997
Aarhus,1362,56.150074,10.204997
Aarhus,1463,56.150074,10.204997
Aarhus,336,56.150074,10.204997
Aarhus,874,56.150074,10.204997
Alfeld(Leine),832,51.98142,9.817779
Alfeld(Leine),944,51.98142,9.817779
Almelo,1174,52.357285,6.654811
Almelo,749,52.357285,6.654811
Almelo,869,52.357285,6.654811
Almelo,896,52.357285,6.654811
Altena(Westf),175,51.301983,7.668808
Altena(Westf),452,51.301983,7.668808
Altenbeken,1049,51.766434,8.943319
Altenbeken,319,51.766434,8.943319
Amersfoort Centraal,1303,52.153465,5.373909
Amersfoort Centraal,1363,52.153465,5.373909
Amersfoort Centraal,18,52.153465,5.373909
Amersfoort Centraal,555,52.153465,5.373909
Amsterdam Centraal,1072,52.37919,4.899431
Amsterdam Centraal,118,52.37919,4.899431
Amsterdam Centraal,1203,52.37919,4.899431
Amsterdam Centraal,1291,52.37919,4.899431
Amsterdam Centraal,1336,52.37919,4.899431
Amsterdam Centraal,1415,52.37919,4.899431
Amsterdam Centraal,169,52.37919,4.899431
Amsterdam Centraal,84,52.37919,4.899431
Amsterdam Centraal,872,52.37919,4.899431
Amsterdam Centraal,956,52.37919,4.899431
Amsterdam Centraal,964,52.37919,4.899431
Amstetten NÖ,342,48.121605,14.878112
Amstetten NÖ,556,48.121605,14.878112
Andernach,1032,50.434544,7.404839
Andernach,791,50.434544,7.404839
Angermünde,245,53.01522,13.996361
Angermünde,281,53.01522,13.996361
Anklam,1127,53.856102,13.701827
Anklam,729,53.856102,13.701827
Ansbach,1019,49.29803,10.578239
Ansbach,1280,49.29803,10.578239
Ansbach,2,49.29803,10.578239
Ansbach,536,49.29803,10.578239
Apeldoorn,1399,52.20943,5.967491
Apeldoorn,192,52.20943,5.967491
Apeldoorn,894,52.20943,5.967491
Apolda,1433,51.03094,11.526136
Apolda,73,51.03094,11.526136
Arnhem Centraal,1232,51.98478,5.901003
Arnhem Centraal,1337,51.98478,5.901003
Arnhem Centraal,454,51.98478,5.901003
